"stage","type","severity","term","est_mean","est_sd","true","clean_est_mean","diff_from_clean"
"prepared","mcar","severe","intercept",-4.29656023215326,0.0835434020092848,-3.9,-4.16322598120029,-0.133334250952969
"impaired","mcar","severe","intercept",-4.26668069616986,0.111288968141571,-3.9,-4.16322598120029,-0.103454714969577
"prepared","mnar","mild","intercept",-4.2310466370373,0.0706570027039716,-3.9,-4.16322598120029,-0.0678206558370098
"impaired","mnar","mild","intercept",-4.19403296555747,0.0638078221422541,-3.9,-4.16322598120029,-0.030806984357187
"prepared","mnar","severe","intercept",-4.26360850991111,0.0667035314211115,-3.9,-4.16322598120029,-0.10038252871082
"impaired","mnar","severe","intercept",-4.27451521955781,0.0695880222588685,-3.9,-4.16322598120029,-0.11128923835752
"prepared","noise","mild","intercept",-4.20869706236408,0.0719241642577014,-3.9,-4.16322598120029,-0.0454710811637931
"impaired","noise","mild","intercept",-4.17927441253229,0.0719430476013641,-3.9,-4.16322598120029,-0.0160484313319991
"prepared","noise","severe","intercept",-4.25007503654886,0.0691704234205749,-3.9,-4.16322598120029,-0.0868490553485755
"impaired","noise","severe","intercept",-4.24091322204313,0.0685093242687016,-3.9,-4.16322598120029,-0.0776872408428444
"clean","clean","none","interest_cov",-0.320701838791557,0.0468947879726249,-0.3,-0.320701838791557,0
"prepared","impl","mild","interest_cov",-0.0214298253283132,0.0324413202558642,-0.3,-0.320701838791557,0.299272013463244
"impaired","impl","mild","interest_cov",-0.000841323859666926,0.00133809380901483,-0.3,-0.320701838791557,0.31986051493189
"prepared","impl","severe","interest_cov",-0.00124668639370764,0.00113615018956704,-0.3,-0.320701838791557,0.319455152397849
"impaired","impl","severe","interest_cov",-0.000558930985797897,0.000688948979504305,-0.3,-0.320701838791557,0.320142907805759
"prepared","mar","mild","interest_cov",-0.355244584110333,0.0376621547849931,-0.3,-0.320701838791557,-0.0345427453187759
"impaired","mar","mild","interest_cov",-0.318253498908193,0.0562745921888041,-0.3,-0.320701838791557,0.00244833988336368
"prepared","mar","severe","interest_cov",-0.396302815750684,0.0479372393902471,-0.3,-0.320701838791557,-0.0756009769591274
"impaired","mar","severe","interest_cov",-0.308623394703808,0.0533612806827651,-0.3,-0.320701838791557,0.0120784440877486
"prepared","mcar","mild","interest_cov",-0.294018929637806,0.0391792664023334,-0.3,-0.320701838791557,0.0266829091537513
"impaired","mcar","mild","interest_cov",-0.301033640508739,0.0442261481074305,-0.3,-0.320701838791557,0.0196681982828182
"prepared","mcar","severe","interest_cov",-0.241119549749208,0.0378680245248732,-0.3,-0.320701838791557,0.0795822890423488
"impaired","mcar","severe","interest_cov",-0.399577734288858,0.0786255223905907,-0.3,-0.320701838791557,-0.078875895497301
"prepared","mnar","mild","interest_cov",-0.252028234563614,0.0475150821829754,-0.3,-0.320701838791557,0.0686736042279428
"impaired","mnar","mild","interest_cov",-0.26883042277106,0.0533611557137006,-0.3,-0.320701838791557,0.0518714160204971
"prepared","mnar","severe","interest_cov",-0.209647504746487,0.0436599469364857,-0.3,-0.320701838791557,0.11105433404507
"impaired","mnar","severe","interest_cov",-0.192293241694553,0.0676727818921088,-0.3,-0.320701838791557,0.128408597097004
"prepared","noise","mild","interest_cov",-0.295787110763625,0.0402413104258957,-0.3,-0.320701838791557,0.0249147280279315
"impaired","noise","mild","interest_cov",-0.289661552297684,0.0398349333849286,-0.3,-0.320701838791557,0.0310402864938732
"prepared","noise","severe","interest_cov",-0.145673987899479,0.0211641119841073,-0.3,-0.320701838791557,0.175027850892078
"impaired","noise","severe","interest_cov",-0.148145767709743,0.0218617360869141,-0.3,-0.320701838791557,0.172556071081814
"clean","clean","none","log_assets",-0.279372980447618,0.0453661255165178,-0.2,-0.279372980447618,0
